|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     450 |         900 |       00:01:30 |       94.00% |       86.67% |       0.1782 |       0.5321 |          0.0010 |
|     475 |         950 |       00:01:35 |       94.00% |       85.00% |       0.1682 |       0.5808 |          0.0010 |
|     500 |        1000 |       00:01:39 |       94.00% |       85.00% |       0.1608 |       0.5505 |          0.0010 |
|     525 |        1050 |       00:01:44 |       94.00% |       85.00% |       0.1593 |       0.5451 |          0.0010 |
|     550 |        1100 |       00:01:48 |       95.00% |       85.00% |       0.1705 |       0.5612 |          0.0010 |
|     575 |        1150 |       00:01:52 |       96.00% |       83.33% |       0.1267 |       0.6386 |          0.0010 |
|     600 |        1200 |       00:01:57 |       96.00% |       83.33% |       0.1201 |       0.6688 |          0.0010 |
|     625 |        1250 |       00:02:01 |       96.00% |       83.33% |       0.1184 |       0.6114 |          0.0010 |
|     650 |        1300 |       00:02:06 |       96.00% |       85.00% |       0.1153 |       0.5780 |          0.0010 |
|     675 |        1350 |       00:02:10 |       95.00% |       83.33% |       0.1616 |       0.5820 |          0.0010 |
|     700 |        1400 |       00:02:15 |       94.00% |       83.33% |       0.1567 |       0.5474 |          0.0010 |
|     725 |        1450 |       00:02:19 |       93.00% |       85.00% |       0.2161 |       0.5300 |          0.0010 |
|     750 |        1500 |       00:02:23 |       90.00% |       81.67% |       0.3384 |       0.7655 |          0.0010 |
|     775 |        1550 |       00:02:28 |       95.00% |       81.67% |       0.1311 |       0.6173 |          0.0010 |
|     800 |        1600 |       00:02:32 |       94.00% |       85.00% |       0.1916 |       0.5916 |          0.0010 |
|     825 |        1650 |       00:02:37 |       92.00% |       80.00% |       0.2369 |       0.6999 |          0.0010 |
|     850 |        1700 |       00:02:41 |       93.00% |       80.00% |       0.1997 |       0.6754 |          0.0010 |
|     875 |        1750 |       00:02:46 |       95.00% |       85.00% |       0.1413 |       0.5107 |          0.0010 |
|     900 |        1800 |       00:02:50 |       94.00% |       81.67% |       0.1435 |       0.7676 |          0.0010 |
|     925 |        1850 |       00:02:55 |       97.00% |       83.33% |       0.1021 |       0.7088 |          0.0010 |
|     950 |        1900 |       00:02:59 |       97.00% |       86.67% |       0.1045 |       0.5610 |          0.0010 |
|     975 |        1950 |       00:03:04 |       97.00% |       86.67% |       0.0970 |       0.6519 |          0.0010 |
|    1000 |        2000 |       00:03:08 |       92.00% |       85.00% |       0.1957 |       0.6543 |          0.0010 |
|======================================================================================================================|
